year,born
1982,823260
1983,775441
1984,787429
1985,796138
1986,805543
1987,795790
1988,800560
1989,796101
1990,793071
1991,790078
1992,774755
1993,741306
1994,740774
1995,759058
1996,764028
1997,757384
1998,767906
1999,775796
2000,807405
2001,803234
2002,792745
2003,793044
2004,799361
2005,806822
2006,829352
2007,818705
2008,828404
2009,824641
2010,832799
2011,823394
2012,821047
2013,811510
2014,818565
2015,798948
2016,783640
2017,769553
2018,758590
2019,753000
